Time,10AFaraday4201,3AFaraday4201,3A-10A
0.00	,	0.00	,	0.00	,	0.00
0.20	,	0.00	,	0.00	,	0.00
0.40	,	0.01	,	0.01	,	0.00
0.60	,	0.01	,	0.01	,	0.00
0.80	,	0.02	,	0.02	,	0.00
1.00	,	0.02	,	0.02	,	0.00
1.20	,	0.03	,	0.03	,	0.00
1.40	,	0.03	,	0.04	,	0.00
1.60	,	0.04	,	0.04	,	0.01
1.80	,	0.04	,	0.05	,	0.01
2.00	,	0.04	,	0.05	,	0.01
2.20	,	0.04	,	0.06	,	0.02
2.40	,	0.04	,	0.06	,	0.02
2.60	,	0.03	,	0.06	,	0.02
2.80	,	0.03	,	0.06	,	0.03
3.00	,	0.03	,	0.06	,	0.03
3.20	,	0.02	,	0.06	,	0.04
3.40	,	0.02	,	0.05	,	0.04
3.60	,	0.01	,	0.05	,	0.04
3.80	,	0.01	,	0.05	,	0.04
4.00	,	0.01	,	0.04	,	0.04
4.20	,	0.01	,	0.04	,	0.03
4.40	,	0.00	,	0.03	,	0.03
4.60	,	0.00	,	0.02	,	0.03
4.80	,	-0.01	,	0.02	,	0.03
5.00	,	-0.02	,	0.00	,	0.02
5.20	,	-0.03	,	-0.01	,	0.02
5.40	,	-0.05	,	-0.03	,	0.02
5.60	,	-0.07	,	-0.05	,	0.01
5.80	,	-0.09	,	-0.08	,	0.01
6.00	,	-0.11	,	-0.10	,	0.01
6.20	,	-0.14	,	-0.14	,	0.00
6.40	,	-0.16	,	-0.17	,	-0.01
6.60	,	-0.19	,	-0.21	,	-0.02
6.80	,	-0.22	,	-0.25	,	-0.03
7.00	,	-0.25	,	-0.30	,	-0.05
7.20	,	-0.28	,	-0.35	,	-0.07
7.40	,	-0.31	,	-0.40	,	-0.09
7.60	,	-0.34	,	-0.46	,	-0.12
7.80	,	-0.37	,	-0.52	,	-0.15
8.00	,	-0.41	,	-0.59	,	-0.18
8.20	,	-0.45	,	-0.65	,	-0.21
8.40	,	-0.48	,	-0.72	,	-0.24
8.60	,	-0.52	,	-0.80	,	-0.28
8.80	,	-0.56	,	-0.87	,	-0.31
9.00	,	-0.60	,	-0.95	,	-0.35
9.20	,	-0.64	,	-1.03	,	-0.39
9.40	,	-0.67	,	-1.10	,	-0.43
9.60	,	-0.71	,	-1.18	,	-0.47
9.80	,	-0.74	,	-1.25	,	-0.52
10.00	,	-0.76	,	-1.32	,	-0.56
10.20	,	-0.77	,	-1.39	,	-0.61
